Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
-0.3612,Mon Oct 15 03:02:10 +0000 2018,0.804,0.136,0.06,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",At least 25 people were injured after a bus and car crashed on a Los Angeles freeway on Sunday https://t.co/ADpc1zxi2Q,209
-0.2023,Mon Oct 15 03:00:00 +0000 2018,0.893,0.107,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Georgia governor nominee Stacey Abrams slams her GOP opponent suggesting he’s using a controversial verification la… https://t.co/ZD8Ojv2U4G,210
-0.2023,Mon Oct 15 02:43:25 +0000 2018,0.65,0.211,0.138,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A lawsuit against Harvard brought on behalf of Asian-American students who failed to gain admission goes to trial o… https://t.co/glOvtcqYwS,211
-0.4939,Mon Oct 15 02:37:05 +0000 2018,0.873,0.127,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","65 years after the UK carried out nuclear bomb tests in Australia, their effects are still being felt -- and the de… https://t.co/ReArKjJTA3",212
-0.7506,Mon Oct 15 02:30:06 +0000 2018,0.766,0.234,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Matthew Shepard died 20 years ago after being beaten, burned and left tied to a fence in Wyoming by two men who tar… https://t.co/jlTjDfUnic",213
0.7906,Mon Oct 15 02:00:03 +0000 2018,0.696,0.0,0.304,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Someone bought the domain bearing Supreme Court Justice Brett Kavanaugh's name and turned it into a site dedicated… https://t.co/T53fTnNXwh,214
0.0,Mon Oct 15 01:35:33 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Pop star Ariana Grande and SNL performer Pete Davidson have split up, a source close to the singer tells CNN https://t.co/Sh9heGKPac",215
0.0,Mon Oct 15 01:30:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Julián Castro, a former housing and urban development secretary in the Obama administration, rallys Iowa Democrats… https://t.co/xC9xDVWSm2",216
0.0,Mon Oct 15 01:00:12 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Britain's Princess Eugenie and Jack Brooksbank release official wedding photographs https://t.co/Wjg70Gk0ze https://t.co/oxRE1HLjpO,217
0.3818,Mon Oct 15 00:30:13 +0000 2018,0.843,0.0,0.157,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","EPA changes are an effort to ""gut rules"" that protect public, scientist says https://t.co/3jq9jyHLyt https://t.co/7WyjgHP6KM",218
