Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Mon Oct 15 17:10:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This is the incredible story of how London dug the Victoria Line! 🚇
#StationsDay https://t.co/F8MsetBclS",23
0.0,Mon Oct 15 16:31:33 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎶😂 Can @JanetJackson recognise her own lyrics in formal English? https://t.co/9sp7aCYK0c,24
-0.3382,Mon Oct 15 16:03:17 +0000 2018,0.888,0.112,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCTwo: Family #CookingShowdown is back! 👨‍👩‍👧‍👦🍴🍳

Meet the families who will be battling it out in the kitchen... https://t.co/GfCVJA…",25
0.0,Mon Oct 15 16:00:19 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCSpringwatch: Hello bear! 👋 Look who turned up on our wildlife cameras! 
See you from 8pm tonight for more bears, beavers, birds, loo…",26
0.3612,Mon Oct 15 15:25:39 +0000 2018,0.848,0.0,0.152,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbccomedy: Peter Kay's Comedy Shuffle returns to @BBCOne tonight with a brand new series. https://t.co/3yfEKVBHik,27
0.0,Mon Oct 15 12:53:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😄😻 Snapchat has introduced selfie filters for cats so cat owners can decorate their pet with hats, glasses and slic… https://t.co/irQa9Juj7g",28
0.0,Mon Oct 15 12:39:22 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcpress: 🧛‍♂️ #Dracula is coming to @BBCOne - from the producers of #Sherlock: https://t.co/n3yHk0kCmt @MarkGatiss @SueVertue @Hartswo…,29
0.7717,Mon Oct 15 12:36:50 +0000 2018,0.767,0.0,0.233,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbbc: “Do you remember who you were back then?
Your plans, your hopes, your dreams…” 💙⛵️

Tony Walsh's beautiful tribute to Blue Peter…",30
0.3612,Mon Oct 15 12:03:04 +0000 2018,0.878,0.0,0.122,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","👩‍🎤🎸🥁 Unable to go to mainstream music festivals, this disabled 16-year-old’s family decided to stage one for her.  https://t.co/2orxIsDNpA",31
-0.4767,Mon Oct 15 11:01:05 +0000 2018,0.744,0.256,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","❤️ A widowed bride's final photos with her groom. 
👉 https://t.co/r2ctfSBJew https://t.co/3KfGC3A5IQ",32
